Zone,Branch Name,BCCL executive name,City/Location,Name of hospitals,Hoispital Address,No. of rooms,Publication (TOI/ET/NBT/MT/MM),PO,Mode of Distribution (Direct BCCL / Indirect Vendor),"Billing Route 
(Direct by BCCL / via Dealer or Vendor)","Billing Price Category 
(Full / Discounted / Free)",Print-run,"Full cover price
(Rs)",Days of delivery,Billing Price per Copy (Rs),Dealer Commission (per copy in Rs),Vendor Commission (per copy in Rs),BCCL off role manpower Salary (Other Expenses),"Extra Handling Charges
(Rs) per month",Distribution Trail: Step 1 (Drop Point Details),Distribution Trail: Step 2 (Intermediate/Transit),Distribution Trail: Step 3 (placement in the stand/room),Timing: From First Drop Point,Final timing (placement in the stand),Personnel Responsible (Dealer/Vendor/BCCL Off-role),Proof of Delivery (Photos/WhatsApp/Signatures),"Frequency
(proof of delivery)",Remarks / Audit Notes
East,Patna,Raj Kumar,Patna,"Sahyog Hospital,Patliputra","Patliputra , Patna",,TOI,4,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna City Edition,5.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Patna,Raj Kumar,Patna,Kurji Holy Family Hospital,"Kurji, Patna",,TOI,15,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna City Edition,5.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Patna,Raj Kumar,Patna,Ruban Memorial Hospital,"Patliputra , Patna",,TOI,5,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna City Edition,5.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Patna,Satyam,Patna,Sun Hospital,"Patliputra , Patna",,TOI,5,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna City Edition,5.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Patna,Raj Kumar,Patna,CNS Hospital,"Patliputra Industrial Area , Patna",,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna City Edition,5.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Patna,Satyam,Patna,Medandta Hospital,"kankarbagh, Patna",,TOI,15,Direct by BCCL,Direct by BCCL,Discounted price,Patna City Edition,5.00,Mon-Sun,3.50,0.00,0.00,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
East,Patna,Satyam,Patna,Medandta Hospital,"kankarbagh, Patna",,ET,5,Direct by BCCL,Direct by BCCL,Discounted price,Patna City Edition,5.00,Mon-Sun,3.50,0.00,0.00,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
East,Patna,Satyam,Patna,Udayan Hospital,"Rajapur Pul, Patna",,TOI,4,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna City Edition,5.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Patna,Satyam,Patna,Paras Hospital,"Raja Bazar, Patna",,TOI,5,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna City Edition,5.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Patna,Satyam,Patna,Asian Hospital,"Patliputra Industrial Area , Patna",,TOI,10,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna City Edition,5.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Patna,Raj Kumar,Patna,"Darbhanga Medical College Hospita,Darbhanga",Dharbhanga ,,TOI,20,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Patna UPC Edition,6.00,Mon-Sun,5.00,0.23,1.65,0,0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,,,
East,Guwahati,Md Reazuddin,Guwahati,ARBOR HEALTH INITIATIVES PVT LTD,Dispur-Guwahati,,TOI,2,Direct by BCCL,Direct by BCCL,Discounted price,Guwahati/Northeast,6.00,Mon-Sun,4.50,,,,98,hospital service gate,Front office / reception,By hospital housekeeping staff,05:00,06:00,,WhatsApp,Weekly,
East,Guwahati,Md Reazuddin,Guwahati,TRINITAS DIAGNOSTIC,VIP Road-Sixmile-Guwahati,,TOI,3,Direct by BCCL,Direct by BCCL,Discounted price,Guwahati/Northeast,6.00,Mon-Sun,4.50,,,,147,hospital service gate,Front office / reception,By hospital housekeeping staff,05:00,06:00,,WhatsApp,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,AMRI HOSPITAL,Bhubaneswar,80,TOI,15,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,APPOLO HOSPITAL,Bhubaneswar,120,TOI,50,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,CARE HOSPITAL,Bhubaneswar,60,TOI,50,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,CARE HOSPITAL,Bhubaneswar,60,ET,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,SUM ULTIMATE,Bhubaneswar,250,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,KIMS,Bhubaneswar,200,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
