,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Type ,Markets,Top Markets,Zone,Print-run,Publication,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
Airport,Direct PO,1 - Total,All markets,East,,1-TOI,1.1,1.1,1.1,1.1,1.1,1.1,1.1,2.9,2.9,2.8,2.4,3.1,2.8,2.2,2.7,2.5,2.5,2.4,2.4,2.4,1.9,1.9,1.9,1.9,1.9
Airlines ,Direct PO,1 - Total,All markets,East,,1-TOI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Railways ,Direct PO,1 - Total,All markets,East,,1-TOI,2.4,2.4,1.9,2.0,2.0,1.8,1.8,6.0,7.1,7.3,7.7,7.9,9.3,7.8,8.8,8.5,8.8,8.8,9.0,9.6,9.4,9.4,10.0,9.8,9.7
Metro Railways,Direct PO,1 - Total,All markets,East,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roadways & Travel,Direct PO,1 - Total,All markets,East,,1-TOI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Hotel,Direct PO,1 - Total,All markets,East,,1-TOI,1.1,1.1,0.9,1.1,1.2,1.2,1.1,1.0,1.0,1.1,1.3,1.3,1.6,1.3,1.3,1.1,1.3,1.3,1.4,1.3,1.5,1.4,1.4,1.2,1.3
Hospital,Direct PO,1 - Total,All markets,East,,1-TOI,0.3,0.3,0.1,0.2,0.3,0.3,0.4,0.6,0.6,0.5,0.6,0.6,0.8,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.4,0.8,0.7,0.5
Offices & Banks,Direct PO,1 - Total,All markets,East,,1-TOI,0.2,0.2,0.7,0.2,0.6,0.6,0.4,0.5,0.7,0.7,0.6,0.7,0.8,0.8,0.9,0.6,1.0,0.9,0.8,0.8,1.1,1.4,1.5,1.6,1.4
Saloon & Spa,Direct PO,1 - Total,All markets,East,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI IC,Direct PO,1 - Total,All markets,East,,1-TOI,0.7,0.7,0.2,0.2,0.9,0.8,1.3,2.4,2.7,2.9,3.5,4.0,4.2,3.3,2.3,1.9,2.7,3.0,3.4,3.8,4.7,4.5,4.1,3.9,3.8
ET IC,Direct PO,1 - Total,All markets,East,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD,Direct PO,1 - Total,All markets,East,,1-TOI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3
CSP,Direct PO,1 - Total,All markets,East,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Sponsorship,Direct PO,1 - Total,All markets,East,,1-TOI,0.1,0.1,0.6,0.6,0.7,0.8,0.3,0.2,0.1,0.0,0.1,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.0,0.0,0.9,0.5,0.7,0.5,0.4
Airport,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Airlines ,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Railways ,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,7.7,7.7,7.7,8.1,8.8,9.2,9.4,9.1,9.5,10.4,11.1,11.6,11.6,11.6,11.6,11.6,11.6
Metro Railways,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,5.2,5.5,5.5,5.5,5.8,5.8,6.8,6.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
Roadways & Travel,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,0.7,0.7,0.7,0.7,0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Hotel,Direct PO,1 - Total,All markets,West 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.0,2.0,2.0,2.0,2.0,2.1,2.0,2.0,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
