Zone,Branch Name,BCCL executive name,City/Location,Name of hospitals,Hoispital Address,No. of rooms,Publication (TOI/ET/NBT/MT/MM),PO,Mode of Distribution (Direct BCCL / Indirect Vendor),"Billing Route 
(Direct by BCCL / via Dealer or Vendor)","Billing Price Category 
(Full / Discounted / Free)",Print-run,"Full cover price
(Rs)",Days of delivery,Billing Price per Copy (Rs),Dealer Commission (per copy in Rs),Vendor Commission (per copy in Rs),BCCL off role manpower Salary (Other Expenses),"Extra Handling Charges
(Rs) per month",Distribution Trail: Step 1 (Drop Point Details),Distribution Trail: Step 2 (Intermediate/Transit),Distribution Trail: Step 3 (placement in the stand/room),Timing: From First Drop Point,Final timing (placement in the stand),Personnel Responsible (Dealer/Vendor/BCCL Off-role),Proof of Delivery (Photos/WhatsApp/Signatures),"Frequency
(proof of delivery)",Remarks / Audit Notes
North,Lucknow,Rajesh Kapoor,Lucknow,Global Health Limited ,API Ansal,50,TOI,35,Direct by BCCL,Direct by BCCL,Discounted price,Lucknow UPC,4.28,Mon-Sun,0.0,0.0,0.0,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,Rajesh Kapoor,WhatsApp,Weekly,
North,Lucknow,Rajesh Kapoor,Lucknow,Global Health Limited ,API Ansal,50,NBT,35,Direct by BCCL,Direct by BCCL,Discounted price,Lucknow UPC,6.00,Mon-Sun,0.0,0.0,0.0,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,Rajesh Kapoor,WhatsApp,Weekly,
North,Chandigarh,ANKUR KHANNA,Chandigarh,Ivy Hopital,Mohali,,TOI,5,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,ANKUR KHANNA,Chandigarh,Max Hospital,Mohali,,TOI,5,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,ANKUR KHANNA,Chandigarh,Fortis Hospital,Mohali,,TOI,5,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,ANKUR KHANNA,Chandigarh,Silver Oaks,Mohali,,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,NAVEEN BANSAL,Chandigarh,AMCARE,Zirakpur,,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,KRISHAN VAID,Chandigarh,Grecians Hopital,Chandigarh,,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,KRISHAN VAID,Chandigarh,Chawla Nursing Home,Chandigarh,,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,KRISHAN VAID,Chandigarh,JP Eye Hospital,Chandigarh,,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,ANKUR KHANNA,Chandigarh,Shri Guru Harkishen Charitable Eye Hospital,Mohali,,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North,Chandigarh,KRISHAN VAID,Chandigarh,Shiwalik Hospital,Chandigarh,,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Chandigarh city,4.50,Mon-Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
