,,,,,,,,,,,,,,
Total OOH Channel,,,,,,,,,,,,,,
Segment,PO March’20 (pre Corona period),,,,,,,Copy Recovery Status as on 31.03.2026,,,,,,
,TOI,ET,Mirror,NBT,MT,Ei-Samay,Vijay KR,TOI,ET,Mirror,NBT,MT,Ei-Samay,Vijay KR
Airport ,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.40,0.20,,0.00,0.00,0.00,
Airlines,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
Railways,0.35,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,,0.00,0.00,0.00,
Metro Rail,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
Roadways & Travel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
Hotel,0.84,0.17,0.00,0.00,0.00,0.00,0.00,0.22,0.02,,0.00,0.00,0.00,
Hospital,0.38,0.01,0.00,0.00,0.00,0.00,0.00,0.14,0.02,,0.00,0.00,0.00,
Office & Banks,2.18,0.50,0.00,0.00,0.00,0.00,0.00,0.55,0.18,,0.00,0.00,0.00,
Saloon & Spa,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
TOI IC,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,,0.00,0.00,0.00,
ET IC,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.41,,0.00,0.00,0.00,
CCD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,,0.00,0.00,0.00,
CSP,0.35,0.12,0.00,0.00,0.00,0.00,0.00,0.04,0.03,,0.00,0.00,0.00,
Sponsorship,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
Total,4.94,1.36,0.00,0.00,0.00,0.00,0.00,2.92,0.86,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
OOH Channel - Direct Billing,,,,,,,,,,,,,,
Segment,PO March’20 (pre Corona period),,,,,,,Copy Recovery Status as on 31.03.2026,,,,,,
,TOI,ET,Mirror,NBT,MT,Ei-Samay,Vijay KR,TOI,ET,Mirror,NBT,MT,Ei-Samay,Vijay KR
Airport ,,,,,,,,0.40,0.20,,,,,
Airlines,,,,,,,,0.00,,,,,,
Railways,,,,,,,,0.00,,,,,,
Metro Rail,,,,,,,,0.00,,,,,,
Roadways & Travel,,,,,,,,0.00,,,,,,
Hotel,,,,,,,,,,,,,,
Hospital,,,,,,,,,,,,,,
Office & Banks,,,,,,,,,,,,,,
Saloon & Spa,,,,,,,,,,,,,,
TOI IC,,,,,,,,0.25,,,,,,
ET IC,,,,,,,,,0.41,,,,,
CCD,,,,,,,,0.04,0.01,,,,,
CSP,,,,,,,,,,,,,,
Sponsorship,,,,,,,,,,,,,,
Total,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.62,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
OOH Channel - Indirect Billing,,,,,,,,,,,,,,
Segment,PO March’20 (pre Corona period),,,,,,,Copy Recovery Status as on 31.03.2026,,,,,,
,TOI,ET,Mirror,NBT,MT,Ei-Samay,Vijay KR,TOI,ET,Mirror,NBT,MT,Ei-Samay,Vijay KR
Airport ,,,,,,,,,,,,,,
Airlines,,,,,,,,,,,,,,
Railways,,,,,,,,1.28,,,,,,
Metro Rail,,,,,,,,0.00,,,,,,
Roadways & Travel,,,,,,,,0.00,,,,,,
Hotel,,,,,,,,0.22,0.02,,,,,
Hospital,,,,,,,,0.14,0.02,,,,,
Office & Banks,,,,,,,,0.55,0.18,,,,,
Saloon & Spa,,,,,,,,0.00,,,,,,
TOI IC,,,,,,,,,,,,,,
ET IC,,,,,,,,,,,,,,
CCD,,,,,,,,,,,,,,
CSP,,,,,,,,0.04,0.03,,,,,
Sponsorship,,,,,,,,0.00,,,,,,
Total,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,0.24,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
