,,,,,,,,,,,,,,,,,,Chain name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,,,,,,,,Hotel,,,,,,,,,,Hospitals,,,,,,,,,,Railways,,,,,,,,Roadways,,,,,,,,Offices & Banks,,,,,,,,CCD,,,,,,,,Chaayos,,,,,,,,Campus TOIC,,,,,,,,Campus ETIC,,
Zone,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Dec 25 PO,,Cat,,,,,,,,Zone,City name, TOI , ET , NBT , MT ,TOTAL,,,,Zone,Train type, TOI , ET , NBT , MT ,TOTAL,,Zone,City name,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,TOI,ET,NBT,MT,TOTAL,,State,City,Sum of # TOI,Sum of # ET,Sum of # NBT,Sum of # MT,TOTAL,,Region,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,PO,,,,,,Zone,City name,PO
East,Bagdogra, 30 ,,,, 30 ,,Zone,City name,< 3 Star,3 Star,4 Star,5 Star,TOTAL,,,,East,Bhubaneswar, 154 , 3 , -   , -   , 157 ,,,,East,Duronto," 1,335 ",,,," 1,335 ",,East,Guwahati, 20 ,,,, 20 ,,East,Bhubaneswar, 120 , 60 ,,, 180 ,,Bihar,Gaya,12,3,0,0, 15 ,,North,CHANDIGARH,10,5,5,5, 25 ,,EAST,Aizawl, 68 ,,,,,,EAST,Angul, -   
East,Bhubaneswar, 225 , 50 ,,, 275 ,,East,Angul, -   , 27 ,,, 27 ,,,,East,Cuttack, 116 , 19 ,,, 135 ,,,,East,Rajdhani," 2,205 ", -   , -   ,," 2,205 ",,East,Kolkata , 52 , 10 ,,, 62 ,,East,Bokaro, 35 , 25 ,,, 60 ,,,Patna,24,6,0,0, 30 ,,,FBD,6,3,3,2, 14 ,,EAST,Angul, -   ,,,,,,EAST,Bakhtiyarpur, -   
East,Kolkata," 1,400 ", 50 ,,," 1,450 ",,East,Balasore, 6 , 1 ,,, 7 ,,,,East,Guwahati, 38 , -   ,,, 38 ,,,,East,Shatabdi, 951 , 50 ,,," 1,001 ",,North,Bhopal, -   , -   , -   ,, -   ,,East,Guwahati, 31 ,,,, 31 ,,Goa,Goa,12,3,0,0, 15 ,,,GGN,48,24,24,17, 113 ,,EAST,Bargarh, 57 ,,,,,,EAST,Baragarh, 2 
East,Patna, 150 , 25 ,,, 175 ,,East,berhampur, 6 ,,,, 6 ,,,,East,Kolkata , 867 , 72 ,,, 939 ,,,,East,Vande Bharat," 5,899 ", 62 ,,," 5,961 ",,North,CHANDIGARH, 80 , -   , -   ,, 80 ,,East,Jamshedpur, 21 , 9 ,,, 30 ,,Gujarat,Ahmedabad,36,9,0,0, 45 ,,,GZB,8,4,4,4, 20 ,,EAST,Bargarh , 30 ,,,,,,EAST,Bargarh, 2 
East,Ranchi, 120 ,,,, 120 ,,East,Bhubaneswar, 92 , 25 , 3 , 56 , 176 ,,,,East,Patna, 85 , 5 ,,, 90 ,,,,North,Duronto," 1,311 ", -   , 69 ,," 1,380 ",,North,Delhi," 1,690 ", 12 , 111 ,," 1,813 ",,East,Kolkata, 678 , 214 ,,, 892 ,,,Rajkot,12,3,0,0, 15 ,,,KARNAL,2,1,1,1, 5 ,,EAST,Baripada, 5 ,,,,,,EAST,Berhampur, 32 
East ,Guwahati, 200 ,,,, 200 ,,East,Bokaro,,, 15 ,, 15 ,,,,East,Rourkela, 5 , -   ,,, 5 ,,,,North,Rajdhani," 5,493 ", 353 ," 1,752 ",," 7,598 ",,North,Jaipur, -   , -   , -   ,, -   ,,East,Patna, 88 , 30 ,,, 118 ,,,Surat,12,3,0,0, 15 ,,,MUM,2,1,1,1, 5 ,,EAST,Berhampur, 63 ,,,,,,EAST,Bhubaneswar, 680 
North,Bhopal, 300 , 25 , -   ,, 325 ,,East,chilika,,,, 25 , 25 ,,,,North,Bhopal, 36 , 4 , -   ,, 40 ,,,,North,Shatabdi," 6,462 ", 812 ," 1,769 ",," 9,043 ",,North,Lucknow, 5 , 80 , 10 ,, 95 ,,East,Ranchi, 84 , 46 ,,, 130 ,,,Vadodara,12,3,0,0, 15 ,,,ND,56,28,28,20, 132 ,,EAST,Bhadrak, 155 ,,,,,,EAST,Bihta, -   
