,Zone,Branch Name,BCCL executive name,City/Location,Name of College,College Address,Type of College (Engineering/MBA Management/General University),Publication (TOI/ET/NBT/MT/MM),PO,Mode of Distribution (Direct BCCL / Indirect Vendor),"Billing Route 
(Direct by BCCL / via Dealer or Vendor)","Billing Price Category 
(Full / Discounted / Free)",Print-run,Days of delivery,Billing type,No. of issue days,Subscription price (Rs),"Full cover price
(Rs)",Billing Price per Copy (Rs),Dealer Commission (per copy in Rs),Vendor Commission (per copy in Rs),BCCL off role manpower Salary (Other Expenses),"Extra Handling Charges
(Rs) per month",Distribution Trail: Step 1 (Drop Point Details),Distribution Trail: Step 2 (Intermediate/Transit),Distribution Trail: Step 3 (placement in the stand/Hostel),Timing: From First Drop Point,Final timing (placement in the stand),Personnel Responsible (Dealer/Vendor/BCCL Off-role),Proof of Delivery (Photos/WhatsApp/Signatures),"Frequency
(proof of delivery)",Remarks / Audit Notes
Example,West 2,Pune,Shweta Udgave,Pune,RIIM College ,South Pune,Engineering,TOI,100,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Fri,Pre-paid,Mon-Fri,654.00,6 & 7 Rs,3.35,0.10,2.30,,,college main gate,Library office,College library / reading room,05:30,06:30,Avinash Salunke,WhatsApp,Weekly,
Example,West 2,Pune,Shweta Udgave,Pune,Zeal College,South Pune,Engineering,TOI,200,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Fri,Pre-paid,Mon-Fri,654.00,6 & 7 Rs,3.35,0.10,2.30,,,college main gate,Library office,College library / reading room,05:30,06:30,Ganesh Avtade,WhatsApp,Weekly,
,West 2,Pune,Shweta Udgave,Pune,Raisoni College,East Pune,MBA Management,TOI,200,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Fri,Pre-paid,Mon-Fri,654.00,6 & 7 Rs,3.35,0.10,2.30,,,college main gate,Library office,College library / reading room,05:30,06:30,Pandurang Sarase,WhatsApp,Weekly,
,West 2,Pune,Shweta Udgave,Pune,JSPM Tathawade college ,East Pune,MBA Management,TOI,54,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Fri,Pre-paid,Mon-Fri,654.00,6 & 7 Rs,3.35,0.10,2.30,,,college main gate,Library office,College library / reading room,05:30,06:30,Ramesh Kolekar,WhatsApp,Weekly,
,West 2,Pune,Shweta Udgave,Pune,Suryadatta college ,East Pune,MBA Management,ET,100,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Fri,Pre-paid,Mon-Fri,784.00,6 & 7 Rs,3.35,0.10,2.30,,,college main gate,Library office,College library / reading room,05:30,06:30,Avinash Salunke,WhatsApp,Weekly,
,West 2,Pune,Shweta Udgave,Pune,PCET College,North Pune,MBA Management,TOI,200,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Fri,Pre-paid,Mon-Fri,654.00,6 & 7 Rs,3.35,0.10,2.30,,,college main gate,Library office,College library / reading room,05:30,06:30,Abhijeet Kurhade,WhatsApp,Weekly,
,West 2,Pune,Shweta Udgave,Pune,IMERT College,North Pune,MBA Management,TOI,100,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Fri,Pre-paid,Mon-Fri,654.00,6 & 7 Rs,3.35,0.10,2.30,,,college main gate,Library office,College library / reading room,05:30,06:30,Avinash Salunke,WhatsApp,Weekly,
,West 2,Pune,Shweta Udgave,Pune,DATAKALA SHIKSHAN SANSTHA,UPC - Bhigwan,General University,TOI,120,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sun,Pre-paid,Mon-Sun,928.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,S.R SAWHNEY ENGLISH SCHOOL,UPC - Vadgoan,General University,TOI,230,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sun,Pre-paid,Mon-Sun,928.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,MAMASAHEB KHANDGE ENGLISH SCHOOL,UPC - Talegaon,General University,TOI,100,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sun,Pre-paid,Mon-Sun,928.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,SAMARTH GROUP OF INSTITUTIONS,UPC - Belha,General University,TOI,9,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sat,Pre-paid,Mon-Sat,784.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,SAINIK SCHOOL,UPC - SATARA,General University,TOI,160,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sun,Pre-paid,Mon-Sun,928.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,MADHYAMIK VIDYALAY VIRWADI,UPC - Bhigwan,General University,TOI,70,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sat,Pre-paid,Mon-Sat,784.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,D.A.SATAV SCHOOL & JR COLLEGE,UPC,General University,TOI,100,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sat,Pre-paid,Mon-Sat,784.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,BARAMATI MUNICIPAL COUNCIL  SCHOOL,UPC,General University,TOI,100,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sat,Pre-paid,Mon-Sat,784.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,KACF English Meduim School,UPC,General University,TOI,50,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sat,Pre-paid,Mon-Sat,784.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,MAULI SHIKSHAN P B MANDAL,UPC,General University,TOI,100,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sat,Pre-paid,Mon-Sat,784.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
,West 2,Pune,Shweta Udgave,Pune,KSHIRSAGAR COLLEGE,UPC,General University,TOI,50,Indirect by Vendor,Indirect by Dealar or Vendor,Discounted price,Pune City,Mon-Sat,Pre-paid,Mon-Sat,784.00,6 & 7 Rs,3.35,0.10,2.30,,,College Main Gate,Library office,Classroom/Stand/Library,07:30,08:30,Shree Kolangade,WhatsApp,Monthly,
