Zone,Branch Name,BCCL executive name,City/Location,Airport Name,Publication (TOI/ET/NBT/MT/MM),PO,Count of Stands,Mode of Distribution (Direct BCCL / Indirect Vendor),"Billing Route 
(Direct by BCCL / via Dealer or Vendor)","Billing Price Category 
(Full / Discounted / Free)",Print-run,"Full cover price
(Rs)",Billing Price per Copy (Rs),Dealer Commission (per copy in Rs),Days of delivery,Vendor Commission (per copy in Rs),Stand Rental/Month (Rs),BCCL off role manpower Salary (Other Expenses),"Extra Handling Charges
(Rs) per month",Distribution Trail: Step 1 (Drop Point Details),Distribution Trail: Step 2 (Intermediate/Transit),Distribution Trail: Step 3 (placement in the stand),Timing: From First Drop Point,Final timing (placement in the stand),Personnel Responsible (Dealer/Vendor/BCCL Off-role),Proof of Delivery (Photos/WhatsApp/Signatures),"Frequency
(proof of delivery)",Remarks / Audit Notes
South II,Hyderabad,Dominic Godfred,Hyderabad,"Rajiv Ghandhi International Airport, Samshabad.",TOI,"1,000",1,Direct by BCCL,Direct by BCCL,Free copies,Hyderabad,5.0,0.00,0,Mon-Sun,,0,0,,Airport gate,Inside the airport,Airport venor,05:00,18:30,Dominic Godfred,Photos,Daily,
South II,Hyderabad,Dominic Godfred,Hyderabad,"Rajiv Ghandhi International Airport, Samshabad.",TOI,"1,000",1,Direct by BCCL,Direct by BCCL,Full price,Hyderabad,5.0,4.00,0,Mon-Sun,,0,0,,Airport gate,Inside the airport,Airport venor,05:00,18:30,Dominic Godfred,Photos,Daily,
South II,Hyderabad,Dominic Godfred,Hyderabad,"Rajiv Ghandhi International Airport, Samshabad.",ET,"1,000",1,Direct by BCCL,Direct by BCCL,Free copies,Hyderabad,5.0,0.00,0,Mon-Sun,,0,0,,Airport gate,Inside the airport,Airport venor,05:00,18:30,Dominic Godfred,Photos,Daily,
South II,Visakhapatnam,Mohan Dasari,Visakhapatnam,Visakhapatnam International Aiport,TOI,750,1,Direct by BCCL,Direct by BCCL,Free copies,Visakhapatnam,5.0,0.00,0,Mon-Sun,,"27,176"," 7,000 ",,Airport gate,Inside the airport,Airport venor,05:00,18:30,Mohan Dasari,Photos,Daily,
South II,Vijayawada,Kumaraswamy Mekala,Vijayawada,Vijayawada International Aiport,TOI,750,1,Direct by BCCL,Direct by BCCL,Free copies,Vijayawada,4.0,0.00,0,Mon-Sun,,"13,588"," 7,000 ",,Airport gate,Inside the airport,Airport venor,05:00,18:30,Kumaraswamy Mekala,Photos,Daily,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
