Row Labels,Category ,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,Grand Total,Avg 2025-26
ALLIANCE BUDGET HOUSING INDIA,Builders ,,,,,13000,27000,,,,,,,40000, 0.11 
BAYER PHARMACEUTICALS PVT LTD,Pharm,,,,,,,,,,,,3600,3600, 0.01 
BHARAT PETROLEUM CORPORATION L,Petrol Bunk,,,,,,1600,,,,,,,1600, 0.00 
Indian Oil Corporation Limited,Petrol Bunk,,,,,,,,84000,86800,84000,72800,43400,371000, 1.03 
INDUMATHI KUMAR PURPLE ORCHID,Restrataunt ,,,108000,23500,,,,,,,,,131500, 0.36 
INDUSIND NIPPON LIFE INSURANCE,Corporate ,,,,,,,,,400,,,,400, 0.00 
INTERSPACE COMMUNICATIONS PVT,Ads Agency ,,,,,,,,,1000,,,,1000, 0.00 
LAWRENEC MAYO (OPTICALS),Retailer ,,,,,,,,5000,,,,,5000, 0.01 
MADISON COMMUNICATION PVT LTD,Retailer ,,,,,,1050,,,,,,,1050, 0.00 
MOUNT MEDIA COMMUNICATIONS,Retailer ,,,,17000,10700,,,,,,,,27700, 0.08 
R DEVI BABA PUBLICATIONS,Education ,,,,700,,,,,,,,,700, 0.00 
SARASWATHY VIDYALAYA NURSERY &,Education ,5000,,,,,9000,,,,,,,14000, 0.04 
SRI KANYAKA PARAMESWARI DEVAST,Education ,,60000,,,,,,,,,,,60000, 0.17 
SRIMATHI SUNDARAVALLI MEMORIAL,Education ,,,,45000,5000,,,,,38000,29500,22500,140000, 0.39 
SUBLIME,Builders ,,,,,2500,15000,45000,45000,55000,18500,2500,,183500, 0.51 
VSVB BUSINESS SOLUTIONS PVT LT,Retailer ,3200,,,,,,,,,2000,,,5200, 0.01 
ZOHO CORPORATION PRIVATE LIMIT,Corporate ,,,,,,250,,,,,,,250, 0.00 
BPCL ,Petrol Bunk,,,,,,22400,40700,39100,63400,63000,58800,65100,352500, 0.98 
Grand Total,,171010,228237,270810,254437,196562,252508,251377,337824,378027,374052,328316,316873,3360033, 3.71 
